quadkey,shapeName,shapeISO,shapeID,shapeGroup,shapeType,pop_count,Predicted Relative Wealth Index,Predicted Wealth Category (quintile),Predicted Wealth Category (split-quintile),geometry
31011220212010,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,179.381722,-0.27731826279648786,D,D,"POLYGON ((124.1455078125 -9.297306856327593, 124.1455078125 -9.275622176792112, 124.16748046875 -9.275622176792112, 124.16748046875 -9.297306856327593, 124.1455078125 -9.297306856327593))"
31011220212012,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,179.381722,-0.059664737911678485,C,C,"POLYGON ((124.1455078125 -9.318990192397923, 124.1455078125 -9.297306856327593, 124.16748046875 -9.297306856327593, 124.16748046875 -9.318990192397923, 124.1455078125 -9.318990192397923))"
31011220212030,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,10.551866,-0.21133219909173728,D,D,"POLYGON ((124.1455078125 -9.340672181980946, 124.1455078125 -9.318990192397923, 124.16748046875 -9.318990192397923, 124.16748046875 -9.340672181980946, 124.1455078125 -9.340672181980946))"
31011220212210,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,26.157472,-0.26449097397434196,D,D,"POLYGON ((124.1455078125 -9.384032109601685, 124.1455078125 -9.362352822055612, 124.16748046875 -9.362352822055612, 124.16748046875 -9.384032109601685, 124.1455078125 -9.384032109601685))"
31011220212212,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,54.692896,-0.2752928080957883,D,D,"POLYGON ((124.1455078125 -9.405710041600031, 124.1455078125 -9.384032109601685, 124.16748046875 -9.384032109601685, 124.16748046875 -9.405710041600031, 124.1455078125 -9.405710041600031))"
31011220212230,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,4.755904,-0.18991006654999304,D,D,"POLYGON ((124.1455078125 -9.427386615032347, 124.1455078125 -9.405710041600031, 124.16748046875 -9.405710041600031, 124.16748046875 -9.427386615032347, 124.1455078125 -9.427386615032347))"
31011220212011,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,240.796304,-0.18538789810763665,D,D,"POLYGON ((124.16748046875 -9.297306856327593, 124.16748046875 -9.275622176792112, 124.189453125 -9.275622176792112, 124.189453125 -9.297306856327593, 124.16748046875 -9.297306856327593))"
31011220212013,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,21.103732,-0.26188224681030114,D,D,"POLYGON ((124.16748046875 -9.318990192397923, 124.16748046875 -9.297306856327593, 124.189453125 -9.297306856327593, 124.189453125 -9.318990192397923, 124.16748046875 -9.318990192397923))"
31011220212033,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,42.207464,-0.24516338902705986,D,D,"POLYGON ((124.16748046875 -9.362352822055612, 124.16748046875 -9.340672181980946, 124.189453125 -9.340672181980946, 124.189453125 -9.362352822055612, 124.16748046875 -9.362352822055612))"
31011220212211,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,30.61554,-0.3002918144239017,E,E,"POLYGON ((124.16748046875 -9.384032109601685, 124.16748046875 -9.362352822055612, 124.189453125 -9.362352822055612, 124.189453125 -9.384032109601685, 124.16748046875 -9.384032109601685))"
31011220210320,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,355.331683,-0.09816585155583607,C,C,"POLYGON ((124.189453125 -9.253936156814456, 124.189453125 -9.232248799418686, 124.21142578125 -9.232248799418686, 124.21142578125 -9.253936156814456, 124.189453125 -9.253936156814456))"
31011220212100,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,9.603559,-0.29986725088561195,E,E,"POLYGON ((124.189453125 -9.297306856327593, 124.189453125 -9.275622176792112, 124.21142578125 -9.275622176792112, 124.21142578125 -9.297306856327593, 124.189453125 -9.297306856327593))"
31011220212102,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,10.551866,-0.37116190783936576,E,E,"POLYGON ((124.189453125 -9.318990192397923, 124.189453125 -9.297306856327593, 124.21142578125 -9.297306856327593, 124.21142578125 -9.318990192397923, 124.189453125 -9.318990192397923))"
31011220212120,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,179.381722,-0.0479136585308168,C,C,"POLYGON ((124.189453125 -9.340672181980946, 124.189453125 -9.318990192397923, 124.21142578125 -9.318990192397923, 124.21142578125 -9.340672181980946, 124.189453125 -9.340672181980946))"
31011220212122,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,179.381722,-0.06863497831079471,C,C,"POLYGON ((124.189453125 -9.362352822055612, 124.189453125 -9.340672181980946, 124.21142578125 -9.340672181980946, 124.21142578125 -9.362352822055612, 124.189453125 -9.362352822055612))"
31011220212302,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,3.257164,-0.28019573781766566,E,D,"POLYGON ((124.189453125 -9.405710041600031, 124.189453125 -9.384032109601685, 124.21142578125 -9.384032109601685, 124.21142578125 -9.405710041600031, 124.189453125 -9.405710041600031))"
31011220210321,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,1450.576715,0.4770823808254482,B,B,"POLYGON ((124.21142578125 -9.253936156814456, 124.21142578125 -9.232248799418686, 124.2333984375 -9.232248799418686, 124.2333984375 -9.253936156814456, 124.21142578125 -9.253936156814456))"
31011220210323,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,19.207118,-0.2788614742634733,D,D,"POLYGON ((124.21142578125 -9.275622176792112, 124.21142578125 -9.253936156814456, 124.2333984375 -9.253936156814456, 124.2333984375 -9.275622176792112, 124.21142578125 -9.275622176792112))"
31011220212101,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,48.017795,-0.3482181856319372,E,E,"POLYGON ((124.21142578125 -9.297306856327593, 124.21142578125 -9.275622176792112, 124.2333984375 -9.275622176792112, 124.2333984375 -9.297306856327593, 124.21142578125 -9.297306856327593))"
31011220212103,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,144.053385,-0.1983905838524206,D,D,"POLYGON ((124.21142578125 -9.318990192397923, 124.21142578125 -9.297306856327593, 124.2333984375 -9.297306856327593, 124.2333984375 -9.318990192397923, 124.21142578125 -9.318990192397923))"
31011220212121,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,411.522774,0.35913433696730623,B,B,"POLYGON ((124.21142578125 -9.340672181980946, 124.21142578125 -9.318990192397923, 124.2333984375 -9.318990192397923, 124.2333984375 -9.340672181980946, 124.21142578125 -9.340672181980946))"
31011220212123,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,316.55598,0.4046118209356054,B,B,"POLYGON ((124.21142578125 -9.362352822055612, 124.21142578125 -9.340672181980946, 124.2333984375 -9.340672181980946, 124.2333984375 -9.362352822055612, 124.21142578125 -9.362352822055612))"
